name,type1,type2,type3,lon,lat
龙庆峡风景区,风景名胜,风景名胜,国家级景点,116.003394,40.551886
燕莎友谊商城,购物服务,商场,购物中心,116.46297,39.948872
七彩云南(月坛北街店),餐饮服务,中餐厅,综合酒楼,116.345358,39.918012
北京石景山游乐园,体育休闲服务,休闲场所,游乐场|风景名胜;风景名胜相关;旅游景点,116.208596,39.912045
三里屯太古里,购物服务,商场,普通商场,116.454406,39.934862
潭柘寺,风景名胜,风景名胜,寺庙道观,116.03061,39.90341
太阳飘亮购物中心,购物服务,商场,购物中心,116.409206,39.997971
红螺寺,风景名胜,风景名胜,国家级景点,116.626045,40.383987
北京燕莎奥特莱斯购物中心B座,购物服务,商场,购物中心,116.48806,39.878248
聚德华天护国寺小吃店,餐饮服务,中餐厅,中餐厅,116.374837,39.935096
大运河森林公园东园,风景名胜,风景名胜,国家级景点,116.745557,39.876036
金海湖,风景名胜,风景名胜,国家级景点,117.328526,40.167146
万科石京龙滑雪场,体育休闲服务,运动场馆,滑雪场|风景名胜;风景名胜相关;旅游景点,115.969777,40.525178
金融街购物中心,购物服务,商场,购物中心,116.361864,39.915561
月坛公园,风景名胜,风景名胜,省级景点,116.352232,39.916422
顺义奥林匹克水上公园,风景名胜,风景名胜,国家级景点,116.690213,40.182488
海底捞火锅(紫竹桥店),餐饮服务,中餐厅,火锅店,116.305096,39.944627
优衣库(三里屯太古里店),购物服务,服装鞋帽皮具店,品牌服装店,116.455018,39.934394
居然之家(十里河店),购物服务,家居建材市场,家具建材综合市场,116.468004,39.859872
西单购物中心,购物服务,商场,购物中心,116.374568,39.911501
海底捞火锅(大钟寺店),餐饮服务,中餐厅,火锅店,116.342066,39.965727
后海公园,风景名胜,公园广场,公园,116.382599,39.942142
十三陵-长陵,风景名胜,风景名胜,世界遗产,116.248818,40.300161
长安商场(装修中),购物服务,商场,购物中心,116.345158,39.907786
同和居(月坛店),餐饮服务,中餐厅,综合酒楼,116.340044,39.914189
胡大饭馆(第三分店),餐饮服务,中餐厅,中餐厅,116.417724,39.940782
妙应寺白塔,风景名胜,风景名胜,寺庙道观,116.363369,39.924844
云柏鞋业(十里堡店),购物服务,服装鞋帽皮具店,服装鞋帽皮具店,116.504053,39.916182
居然之家(北四环店),购物服务,家居建材市场,家具建材综合市场,116.436159,39.990744
北京君太百货,购物服务,商场,购物中心,116.373133,39.909583
苏浙汇(北京朝外店),餐饮服务,中餐厅,上海菜,116.440575,39.927898
百脑汇(北京旗舰店),购物服务,家电电子卖场,家电电子卖场,116.445356,39.924070
昌平新城滨河森林公园,风景名胜,公园广场,公园,116.299628,40.13177
SOHO尚都,购物服务,商场,购物中心,116.451483,39.918905
万达广场(通州店),购物服务,商场,购物中心,116.640429,39.905349
黄村公园(清源路),风景名胜,公园广场,公园,116.335034,39.741861
华堂商场(亚运村店),购物服务,商场,商场,116.420786,39.987989
北京黑龙潭自然风景区,风景名胜,风景名胜,国家级景点,116.794002,40.565302
姜杰钢琴琴城(航天桥店),购物服务,专卖店,专营店,116.310761,39.930353
柴氏风味斋(甘家口店),餐饮服务,中餐厅,清真菜馆,116.331113,39.926583
海底捞火锅(翠微路店),餐饮服务,中餐厅,火锅店,116.303909,39.912524
人间花海,风景名胜,公园广场,公园,117.203562,40.571464
北京奥林匹克森林公园,风景名胜,风景名胜,国家级景点,116.39383,39.999089
北京园博园,风景名胜,风景名胜,风景名胜,116.190959,39.875252
法华寺,风景名胜,风景名胜,寺庙道观,116.424642,39.888066
西单商场(西单北大街店),购物服务,商场,普通商场,116.374428,39.912684
元大都城垣遗址公园,风景名胜,风景名胜相关,旅游景点,116.393659,39.975913
贵友大厦,购物服务,商场,普通商场,116.666515,39.884251
凯德MALL(太阳宫店),购物服务,商场,购物中心,116.447553,39.971317
金鼎轩(亚运村店),餐饮服务,中餐厅,综合酒楼,116.412998,40.002549
居庸关,风景名胜,风景名胜,国家级景点,116.07316,40.291139
人民大会堂宴会厅,餐饮服务,中餐厅,综合酒楼,116.393711,39.904989
石景山雕塑公园,风景名胜,公园广场,公园,116.199824,39.911837
八达岭野生动物世界,风景名胜,公园广场,动物园,115.996858,40.351178
汉光百货,购物服务,商场,普通商场,116.375371,39.909417
八大处公园-灵光寺,风景名胜,风景名胜,寺庙道观,116.183746,39.956292
